NC_000853.1	Thermotoga maritima
NZ_CP008808.1	Campylobacter fetus
NZ_CP008810.1	Campylobacter fetus
NZ_CP008816.1	Enterococcus faecalis
NZ_CP008819.1	Ochrobactrum anthropi
NZ_CP008820.1	Ochrobactrum anthropi
NZ_CP008823.1	Enterobacter cloacae
NZ_CP008827.1	Klebsiella pneumoniae
NZ_CP008831.1	Klebsiella pneumoniae
NZ_CP008834.1	Burkholderia pseudomallei
NZ_CP008835.1	Burkholderia pseudomallei
NZ_CP008841.1	Klebsiella michiganensis
NZ_CP008846.1	Bacillus anthracis
NZ_CP008849.1	Alteromonas australica
NZ_CP008852.1	Pelosinus sp.
NZ_CP008855.1	Bacillus sp.
NZ_CP008857.1	Pseudomonas aeruginosa
NZ_CP008861.1	Pseudomonas aeruginosa
NZ_CP008863.1	Pseudomonas aeruginosa
NZ_CP008867.1	Pseudomonas aeruginosa
NZ_CP008868.1	Pseudomonas aeruginosa
NZ_CP008873.1	Pseudomonas aeruginosa
NZ_CP008876.1	Terribacillus aidingensis
NZ_CP008878.1	Flavobacterium psychrophilum
NZ_CP008881.1	Flavobacterium psychrophilum
NZ_CP008883.1	Flavobacterium psychrophilum
NZ_CP008884.1	Dyella japonica
NZ_CP008885.1	Bifidobacterium longum
NZ_CP008886.1	Raoultella ornithinolytica
NZ_CP008889.1	Dermacoccus nishinomiyaensis
NZ_CP008891.1	Burkholderia pseudomallei
NZ_CP008892.1	Burkholderia pseudomallei
NZ_CP008893.1	Burkholderia pseudomallei
NZ_CP008894.1	Burkholderia pseudomallei
NZ_CP008896.1	Pseudomonas fluorescens
NZ_CP008897.1	Enterobacter cloacae
NZ_CP008902.1	Flavobacterium psychrophilum
NZ_CP008905.1	Enterobacter cloacae
NZ_CP008909.1	Burkholderia pseudomallei
NZ_CP008910.1	Burkholderia pseudomallei
NZ_CP008911.1	Burkholderia pseudomallei
NZ_CP008912.1	Burkholderia pseudomallei
NZ_CP008913.1	Corynebacterium sp.
NZ_CP008914.2	Burkholderia thailandensis
NZ_CP008915.2	Burkholderia thailandensis
NZ_CP008918.1	Pasteurella multocida
NZ_CP008920.1	Providencia stuartii
NZ_CP008921.1	Streptococcus suis
NZ_CP008922.1	Corynebacterium pseudotuberculosis
NZ_CP008923.1	Corynebacterium pseudotuberculosis
NZ_CP008924.1	Corynebacterium pseudotuberculosis
NZ_CP008925.1	Salmonella enterica
NZ_CP008926.1	Streptococcus pyogenes
NZ_CP008928.1	Salmonella enterica
NZ_CP008929.1	Klebsiella pneumoniae
NZ_CP008934.1	Geobacillus stearothermophilus
NZ_CP008941.1	Candidatus Paracaedibacter
NZ_CP008943.1	Yersinia pseudotuberculosis
NZ_CP008944.1	Corynebacterium atypicum
NZ_CP008953.1	Amycolatopsis japonica
NZ_CP008957.1	Escherichia coli
NZ_CP008989.1	Xanthomonas citri
NZ_CP008992.1	Xanthomonas citri
NZ_CP008995.1	Xanthomonas citri
NZ_CP008998.1	Xanthomonas citri
NZ_CP009001.1	Xanthomonas citri
NZ_CP009004.1	Xanthomonas citri
NZ_CP009007.1	Xanthomonas citri
NZ_CP009010.1	Xanthomonas citri
NZ_CP009013.1	Xanthomonas citri
NZ_CP009016.1	Xanthomonas citri
NZ_CP009019.1	Xanthomonas citri
NZ_CP009022.1	Xanthomonas citri
NZ_CP009025.1	Xanthomonas citri
NZ_CP009028.1	Xanthomonas citri
NZ_CP009031.1	Xanthomonas citri
NZ_CP009034.1	Xanthomonas citri
NZ_CP009037.1	Xanthomonas citri
NZ_CP009040.1	Xanthomonas citri
NZ_CP009041.1	Vibrio cholerae
NZ_CP009042.1	Vibrio cholerae
NZ_CP009043.1	Campylobacter iguaniorum
NZ_CP009045.1	Bifidobacterium animalis
NZ_CP009046.1	Staphylococcus epidermidis
NZ_CP009048.1	Pseudomonas alkylphenolica
NZ_CP009049.1	Salmonella enterica
NZ_CP009054.1	Lactococcus lactis
NZ_CP009056.1	Frischella perrara
NZ_CP009058.1	Borrelia afzelii
NZ_CP009072.1	Escherichia coli
NZ_CP009083.1	Salmonella enterica
NZ_CP009084.2	Salmonella enterica
NZ_CP009085.2	Salmonella enterica
NZ_CP009086.1	Salmonella enterica
NZ_CP009087.1	Salmonella enterica
NZ_CP009088.1	Salmonella enterica
NZ_CP009089.1	Salmonella enterica
NZ_CP009090.1	Salmonella enterica
NZ_CP009091.1	Salmonella enterica
NZ_CP009092.1	Salmonella enterica
NZ_CP009093.1	Salmonella enterica
NZ_CP009100.1	Mycobacterium tuberculosis
NZ_CP009101.1	Mycobacterium tuberculosis
NZ_CP009102.1	Salmonella enterica
NZ_CP009104.1	Escherichia coli
NZ_CP009106.2	Escherichia coli
NZ_CP009108.1	Bacillus pumilus
NZ_CP009110.1	Amycolatopsis methanolica
NZ_CP009111.1	Rhodococcus opacus
NZ_CP009114.1	Klebsiella pneumoniae
NZ_CP009117.1	Borreliella valaisiana
NZ_CP009122.1	Sphingopyxis fribergensis
NZ_CP009124.1	Streptomyces lividans
NZ_CP009125.1	Pectobacterium atrosepticum
NZ_CP009127.1	Burkholderia pseudomallei
NZ_CP009128.1	Burkholderia pseudomallei
NZ_CP009129.1	Planococcus sp.
NZ_CP009144.1	Sinorhizobium meliloti
NZ_CP009147.1	Burkholderia mallei
NZ_CP009148.1	Burkholderia mallei
NZ_CP009150.1	Burkholderia pseudomallei
NZ_CP009151.1	Burkholderia pseudomallei
NZ_CP009158.1	Glaesserella parasuis
NZ_CP009159.1	Actinobacillus suis
NZ_CP009160.1	Burkholderia pseudomallei
NZ_CP009161.1	Burkholderia pseudomallei
NZ_CP009162.1	Burkholderia pseudomallei
NZ_CP009163.1	Burkholderia pseudomallei
NZ_CP009164.1	Burkholderia pseudomallei
NZ_CP009165.1	Burkholderia pseudomallei
NZ_CP009166.1	Escherichia coli
NZ_CP009170.1	Thermoanaerobacter kivui
NZ_CP009208.1	Klebsiella pneumoniae
NZ_CP009209.1	Burkholderia pseudomallei
NZ_CP009210.1	Burkholderia pseudomallei
NZ_CP009211.1	Corynebacterium imitans
NZ_CP009212.1	Borrelia afzelii
NZ_CP009215.1	Corynebacterium ureicelerivorans
NZ_CP009217.1	Rickettsiales bacterium
NZ_CP009220.1	Corynebacterium deserti
NZ_CP009223.1	Weissella ceti
NZ_CP009224.1	Weissella ceti
NZ_CP009225.1	Clostridium sporogenes
NZ_CP009226.1	Campylobacter fetus
NZ_CP009227.1	Treponema sp.
NZ_CP009228.1	Treponema putidum
NZ_CP009230.1	Aggregatibacter aphrophilus
NZ_CP009234.1	Burkholderia pseudomallei
NZ_CP009235.1	Burkholderia pseudomallei
NZ_CP009236.1	Lactobacillus plantarum
NZ_CP009237.1	Glaesserella parasuis
NZ_CP009238.1	Basilea psittacipulmonis
NZ_CP009239.1	Cellulophaga lytica
NZ_CP009240.1	Megasphaera elsdenii
NZ_CP009241.1	Paenibacillus sp.
NZ_CP009242.1	Listeria monocytogenes
NZ_CP009243.1	Mycobacterium bovis
NZ_CP009244.1	Corynebacterium ammoniagenes
NZ_CP009245.1	Corynebacterium aquilae
NZ_CP009246.1	Corynebacterium flavescens
NZ_CP009247.1	Corynebacterium frankenforstense
NZ_CP009248.1	Corynebacterium sphenisci
NZ_CP009249.1	Corynebacterium phocae
NZ_CP009251.1	Corynebacterium stationis
NZ_CP009256.1	Acinetobacter baumannii
NZ_CP009257.1	Acinetobacter baumannii
NZ_CP009258.1	Listeria monocytogenes
NZ_CP009261.1	Vibrio vulnificus
NZ_CP009262.1	Vibrio vulnificus
NZ_CP009264.1	Vibrio coralliilyticus
NZ_CP009265.1	Vibrio coralliilyticus
NZ_CP009267.1	Clostridium pasteurianum
NZ_CP009268.1	Clostridium pasteurianum
NZ_CP009273.1	Escherichia coli
NZ_CP009274.2	Klebsiella variicola
NZ_CP009278.1	Sphingobacterium sp.
NZ_CP009279.1	Paenibacillus sp.
NZ_CP009280.1	Paenibacillus sp.
NZ_CP009281.1	Paenibacillus sp.
NZ_CP009282.1	Paenibacillus sp.
NZ_CP009283.1	Paenibacillus sp.
NZ_CP009284.1	Paenibacillus sp.
NZ_CP009285.1	Paenibacillus borealis
NZ_CP009286.1	Paenibacillus stellifer
NZ_CP009287.1	Paenibacillus graminis
NZ_CP009288.1	Paenibacillus durus
NZ_CP009290.1	Pseudomonas chlororaphis
NZ_CP009291.1	Novosphingobium pentaromativorans
NZ_CP009297.1	Burkholderia pseudomallei
NZ_CP009298.1	Burkholderia pseudomallei
NZ_CP009300.1	Bacillus cereus
NZ_CP009301.1	Dokdonia sp.
NZ_CP009302.1	Coriobacteriaceae bacterium
NZ_CP009312.1	Lawsonella clevelandensis
NZ_CP009315.1	Bacillus anthracis
NZ_CP009318.1	Bacillus cereus
NZ_CP009322.1	Burkholderia gladioli
NZ_CP009323.1	Burkholderia gladioli
NZ_CP009325.1	Bacillus anthracis
NZ_CP009328.1	Bacillus anthracis
NZ_CP009331.1	Bacillus anthracis
NZ_CP009335.1	Bacillus thuringiensis
NZ_CP009337.1	Burkholderia mallei
NZ_CP009338.1	Burkholderia mallei
NZ_CP009341.1	Bacillus anthracis
NZ_CP009343.1	Francisella philomiragia
NZ_CP009351.1	Bacillus thuringiensis
NZ_CP009353.1	Francisella tularensis
NZ_CP009354.1	Vibrio tubiashii
NZ_CP009355.1	Vibrio tubiashii
NZ_CP009361.1	Staphylococcus aureus
NZ_CP009364.1	Yersinia frederiksenii
NZ_CP009365.1	Pseudomonas mosselii
NZ_CP009367.1	Yersinia enterocolitica
NZ_CP009369.1	Bacillus cereus
NZ_CP009407.1	Mycobacterium abscessus
NZ_CP009408.1	Mycobacterium abscessus
NZ_CP009415.1	Candidatus Izimaplasma
NZ_CP009416.1	Jeotgalibacillus malaysiensis
NZ_CP009418.1	Neisseria meningitidis
NZ_CP009419.1	Neisseria meningitidis
NZ_CP009420.1	Neisseria meningitidis
NZ_CP009421.1	Neisseria meningitidis
NZ_CP009422.1	Neisseria meningitidis
NZ_CP009423.1	Staphylococcus aureus
NZ_CP009426.1	Mycobacterium tuberculosis
NZ_CP009427.1	Mycobacterium tuberculosis
NZ_CP009428.1	Paenibacillus odorifer
NZ_CP009429.1	Sphingopyxis macrogoltabida
NZ_CP009434.1	Burkholderia glumae
NZ_CP009435.1	Burkholderia glumae
NZ_CP009436.1	Francisella philomiragia
NZ_CP009438.1	Streptomyces glaucescens
NZ_CP009440.1	Francisella philomiragia
NZ_CP009442.1	Francisella philomiragia
NZ_CP009444.1	Francisella philomiragia
NZ_CP009448.1	Achromobacter xylosoxidans
NZ_CP009449.1	Mycobacterium bovis
NZ_CP009450.1	Pluralibacter gergoviae
NZ_CP009451.1	Cedecea neteri
NZ_CP009452.1	Sphingopyxis sp.
NZ_CP009454.1	Pantoea rwandensis
NZ_CP009455.1	Pseudomonas cremoricolorata
NZ_CP009456.1	Yersinia enterocolitica
NZ_CP009458.1	Cedecea neteri
NZ_CP009459.1	Cedecea neteri
NZ_CP009460.1	Dickeya solani
NZ_CP009461.1	Klebsiella pneumoniae
NZ_CP009464.1	Bacillus anthracis
NZ_CP009467.1	Vibrio harveyi
NZ_CP009468.1	Vibrio harveyi
NZ_CP009470.1	Staphylococcus schleiferi
NZ_CP009471.1	Marinitoga sp.
NZ_CP009472.1	Lactococcus lactis
NZ_CP009473.1	Burkholderia pseudomallei
NZ_CP009474.1	Burkholderia pseudomallei
NZ_CP009476.1	Bacillus anthracis
NZ_CP009477.1	Burkholderia pseudomallei
NZ_CP009478.1	Burkholderia pseudomallei
NZ_CP009480.1	Mycobacterium tuberculosis
NZ_CP009482.1	Mycobacterium avium
NZ_CP009483.1	Mycobacterium kansasii
NZ_CP009484.1	Burkholderia pseudomallei
NZ_CP009485.1	Burkholderia pseudomallei
NZ_CP009486.1	Burkholderia ubonensis
NZ_CP009487.1	Burkholderia ubonensis
NZ_CP009488.1	Burkholderia ubonensis
NZ_CP009492.1	Yersinia pestis
NZ_CP009493.1	Mycobacterium avium
NZ_CP009494.1	Mycobacterium smegmatis
NZ_CP009495.1	Mycobacterium smegmatis
NZ_CP009496.1	Mycobacterium smegmatis
NZ_CP009498.1	Endomicrobium proavitum
NZ_CP009499.1	Mycobacterium intracellulare
NZ_CP009500.1	Corynebacterium ulcerans
NZ_CP009531.1	Lactobacillus sp.
NZ_CP009533.1	Pseudomonas rhizosphaerae
NZ_CP009534.1	Acinetobacter baumannii
NZ_CP009535.1	Burkholderia pseudomallei
NZ_CP009536.1	Burkholderia pseudomallei
NZ_CP009537.1	Burkholderia pseudomallei
NZ_CP009538.1	Burkholderia pseudomallei
NZ_CP009539.1	Yersinia ruckeri
NZ_CP009541.1	Bacillus anthracis
NZ_CP009544.1	Bacillus anthracis
NZ_CP009545.1	Burkholderia pseudomallei
NZ_CP009546.1	Burkholderia pseudomallei
NZ_CP009548.1	Burkholderia sp.
NZ_CP009549.1	Burkholderia sp.
NZ_CP009550.1	Burkholderia pseudomallei
NZ_CP009551.1	Burkholderia pseudomallei
NZ_CP009553.3	Pandoraea pnomenusa
NZ_CP009554.1	Staphylococcus aureus
NZ_CP009555.1	Burkholderia oklahomensis
NZ_CP009556.1	Burkholderia oklahomensis
NZ_CP009557.1	Clostridium perfringens
NZ_CP009559.1	Salmonella enterica
NZ_CP009561.1	Salmonella enterica
NZ_CP009571.1	Sphingomonas taxi
NZ_CP009574.1	Francisella sp.
NZ_CP009575.1	Listeria ivanovii
NZ_CP009576.1	Listeria ivanovii
NZ_CP009577.1	Listeria ivanovii
NZ_CP009583.1	Corynebacterium ulcerans
NZ_CP009585.1	Burkholderia pseudomallei
NZ_CP009586.1	Burkholderia pseudomallei
NZ_CP009587.1	Burkholderia mallei
NZ_CP009588.1	Burkholderia mallei
NZ_CP009590.1	Bacillus cereus
NZ_CP009596.1	Bacillus cereus
NZ_CP009598.1	Bacillus anthracis
NZ_CP009600.1	Bacillus thuringiensis
NZ_CP009601.1	Burkholderia thailandensis
NZ_CP009602.1	Burkholderia thailandensis
NZ_CP009605.1	Bacillus cereus
NZ_CP009607.1	Francisella tularensis
NZ_CP009608.1	Chlamydia muridarum
NZ_CP009609.1	Chlamydia muridarum
NZ_CP009610.1	Haemophilus influenzae
NZ_CP009611.1	Bacillus subtilis
NZ_CP009612.1	Streptococcus pyogenes
NZ_CP009613.1	Mycobacterium abscessus
NZ_CP009614.1	Mycobacterium avium
NZ_CP009615.1	Mycobacterium abscessus
NZ_CP009616.1	Mycobacterium abscessus
NZ_CP009617.1	Vibrio coralliilyticus
NZ_CP009618.1	Vibrio coralliilyticus
NZ_CP009621.1	Pontibacter korlensis
NZ_CP009622.1	Corynebacterium ulcerans
NZ_CP009623.1	Staphylococcus agnetis
NZ_CP009625.1	Brucella abortus
NZ_CP009626.1	Brucella abortus
NZ_CP009628.1	Bacillus cereus
NZ_CP009630.1	Burkholderia vietnamiensis
NZ_CP009631.1	Burkholderia vietnamiensis
NZ_CP009632.1	Burkholderia vietnamiensis
NZ_CP009633.1	Francisella tularensis
NZ_CP009641.1	Bacillus cereus
NZ_CP009642.1	Burkholderia mallei
NZ_CP009643.1	Burkholderia mallei
NZ_CP009644.1	Escherichia coli
NZ_CP009651.1	Bacillus mycoides
NZ_CP009652.1	Mycoplasma hominis
NZ_CP009653.1	Francisella tularensis
NZ_CP009654.1	Francisella sp.
NZ_CP009676.1	Staphylococcus schleiferi
NZ_CP009679.1	Bacillus velezensis
NZ_CP009681.1	Staphylococcus aureus
NZ_CP009682.1	Francisella tularensis
NZ_CP009685.1	Escherichia coli
NZ_CP009686.1	Bacillus cereus
NZ_CP009687.1	Clostridium aceticum
NZ_CP009692.1	Bacillus mycoides
NZ_CP009693.1	Francisella tularensis
NZ_CP009694.1	Francisella tularensis
NZ_CP009697.1	Bacillus anthracis
NZ_CP009700.1	Bacillus anthracis
NZ_CP009704.1	Yersinia pestis
NZ_CP009706.1	Hafnia alvei
NZ_CP009707.1	Burkholderia mallei
NZ_CP009708.1	Burkholderia mallei
NZ_CP009709.1	Bacillus coagulans
NZ_CP009712.1	Yersinia pseudotuberculosis
NZ_CP009715.1	Yersinia pestis
NZ_CP009716.1	Corynebacterium ulcerans
NZ_CP009720.1	Bacillus thuringiensis
NZ_CP009723.1	Yersinia pestis
NZ_CP009743.1	Burkholderia contaminans
NZ_CP009744.1	Burkholderia contaminans
NZ_CP009745.1	Burkholderia contaminans
NZ_CP009746.1	Bacillus weihenstephanensis
NZ_CP009747.1	Pseudomonas parafulva
NZ_CP009748.1	Bacillus subtilis
NZ_CP009749.1	Bacillus subtilis
NZ_CP009751.1	Bordetella pertussis
NZ_CP009753.1	Francisella tularensis
NZ_CP009754.1	Streptomyces sp.
NZ_CP009755.1	Curtobacterium sp.
NZ_CP009756.1	Enterobacter cloacae
NZ_CP009757.1	Yersinia pseudotuberculosis
NZ_CP009759.1	Yersinia pseudotuberculosis
NZ_CP009760.1	Chlamydia muridarum
NZ_CP009761.1	Parvimonas micra
NZ_CP009762.1	Staphylococcus schleiferi
NZ_CP009764.1	Ralstonia solanacearum
NZ_CP009765.1	Vibrio parahaemolyticus
NZ_CP009766.1	Vibrio parahaemolyticus
NZ_CP009768.1	Salmonella enterica
NZ_CP009769.1	Pectobacterium carotovorum
NZ_CP009771.1	Klebsiella pneumoniae
NZ_CP009775.1	Klebsiella pneumoniae
NZ_CP009780.1	Yersinia pseudotuberculosis
NZ_CP009781.1	Yersinia aldovae
NZ_CP009785.1	Yersinia pestis
NZ_CP009786.1	Yersinia pseudotuberculosis
NZ_CP009787.1	Yersinia rohdei
NZ_CP009788.1	Geobacter pickeringii
NZ_CP009789.1	Escherichia coli
NZ_CP009792.1	Yersinia pseudotuberculosis
NZ_CP009793.1	Burkholderia dolosa
NZ_CP009794.1	Burkholderia dolosa
NZ_CP009795.1	Burkholderia dolosa
NZ_CP009796.1	Bacillus subtilis
NZ_CP009798.1	Burkholderia ambifaria
NZ_CP009799.1	Burkholderia ambifaria
NZ_CP009800.1	Burkholderia ambifaria
NZ_CP009801.1	Yersinia intermedia
NZ_CP009802.1	Streptomyces sp.
NZ_CP009828.1	Staphylococcus aureus
NZ_CP009831.1	Burkholderia multivorans
NZ_CP009832.1	Burkholderia multivorans
NZ_CP009838.1	Yersinia enterocolitica
NZ_CP009840.1	Yersinia pestis
NZ_CP009844.1	Yersinia pestis
NZ_CP009847.1	Vibrio parahaemolyticus
NZ_CP009848.1	Vibrio parahaemolyticus
NZ_CP009850.1	Enterobacter cloacae
NZ_CP009854.1	Enterobacter cloacae
NZ_CP009859.1	Escherichia coli
NZ_CP009863.1	Klebsiella pneumoniae
NZ_CP009866.1	Pantoea sp.
NZ_CP009872.1	Klebsiella pneumoniae
NZ_CP009876.1	Klebsiella pneumoniae
NZ_CP009880.1	Pantoea sp.
NZ_CP009887.1	Cellulophaga baltica
NZ_CP009888.1	Pseudoalteromonas sp.
NZ_CP009889.1	Pseudoalteromonas sp.
NZ_CP009896.1	Pimelobacter simplex
NZ_CP009897.1	Listeria monocytogenes
NZ_CP009898.1	Burkholderia pseudomallei
NZ_CP009899.1	Burkholderia pseudomallei
NZ_CP009902.1	Bacillus anthracis
NZ_CP009906.1	Yersinia pestis
NZ_CP009907.1	Lactobacillus helveticus
NZ_CP009913.1	Streptococcus salivarius
NZ_CP009914.1	Mycobacterium sp.
NZ_CP009920.1	Bacillus megaterium
NZ_CP009922.2	Streptomyces xiamenensis
NZ_CP009923.1	Chlamydia trachomatis
NZ_CP009925.1	Chlamydia trachomatis
NZ_CP009927.1	Corynebacterium pseudotuberculosis
NZ_CP009928.1	Chryseobacterium gallinarum
NZ_CP009933.1	Clostridium scatologenes
NZ_CP009935.1	Yersinia pestis
NZ_CP009938.1	Bacillus sp.
NZ_CP009941.1	Bacillus cereus
NZ_CP009962.1	Collimonas arenae
NZ_CP009968.1	Bacillus cereus
NZ_CP009973.1	Yersinia pestis
NZ_CP009974.1	Pseudomonas putida
NZ_CP009976.1	Cellulophaga baltica
NZ_CP009977.1	Vibrio natriegens
NZ_CP009978.1	Vibrio natriegens
NZ_CP009981.1	Bacillus anthracis
NZ_CP009982.1	Vibrio parahaemolyticus
NZ_CP009983.1	Vibrio parahaemolyticus
NZ_CP009984.1	Vibrio vulnificus
NZ_CP009985.1	Vibrio vulnificus
NZ_CP009991.1	Yersinia pestis
NZ_CP009997.1	Yersinia kristensenii
NZ_CP010013.1	Helicobacter pylori
NZ_CP010014.1	Bacillus sp.
NZ_CP010017.1	Burkholderia thailandensis
NZ_CP010018.1	Burkholderia thailandensis
NZ_CP010019.1	Francisella philomiragia
NZ_CP010023.1	Yersinia pestis
NZ_CP010025.1	Paraburkholderia fungorum
NZ_CP010026.1	Paraburkholderia fungorum
NZ_CP010027.1	Paraburkholderia fungorum
NZ_CP010028.1	Deinococcus swuensis
NZ_CP010048.1	Blochmannia endosymbiont
NZ_CP010049.1	Blochmannia endosymbiont
NZ_CP010050.1	Lactococcus lactis
NZ_CP010052.1	Bacillus subtilis
NZ_CP010053.1	Bacillus subtilis
NZ_CP010054.1	Hymenobacter sp.
NZ_CP010065.1	Burkholderia mallei
NZ_CP010066.1	Burkholderia mallei
NZ_CP010067.1	Yersinia pseudotuberculosis
NZ_CP010071.1	Mycobacterium sp.
NZ_CP010072.1	Campylobacter jejuni
NZ_CP010075.1	Bacillus sp.
NZ_CP010086.2	Clostridium beijerinckii
NZ_CP010088.1	Bacillus thuringiensis
NZ_CP010089.1	Bacillus thuringiensis
NZ_CP010103.1	Francisella tularensis
NZ_CP010106.1	Bacillus thuringiensis
NZ_CP010113.1	Mycobacterium avium
NZ_CP010114.1	Mycobacterium avium
NZ_CP010115.1	Francisella tularensis
NZ_CP010116.1	Escherichia coli
NZ_CP010117.1	Escherichia coli
NZ_CP010119.1	Escherichia coli
NZ_CP010121.1	Escherichia coli
NZ_CP010122.1	Escherichia coli
NZ_CP010125.1	Escherichia coli
NZ_CP010129.1	Escherichia coli
NZ_CP010132.1	Escherichia coli
NZ_CP010133.1	Escherichia coli
NZ_CP010134.1	Escherichia coli
NZ_CP010137.1	Escherichia coli
NZ_CP010140.1	Escherichia coli
NZ_CP010143.1	Escherichia coli
NZ_CP010145.1	Escherichia coli
NZ_CP010148.1	Escherichia coli
NZ_CP010150.1	Escherichia coli
NZ_CP010151.1	Escherichia coli
NZ_CP010152.1	Escherichia coli
NZ_CP010157.1	Escherichia coli
NZ_CP010160.1	Escherichia coli
NZ_CP010163.1	Escherichia coli
NZ_CP010167.1	Escherichia coli
NZ_CP010169.1	Escherichia coli
NZ_CP010170.1	Escherichia coli
NZ_CP010171.1	Escherichia coli
NZ_CP010172.1	Escherichia coli
NZ_CP010176.1	Escherichia coli
NZ_CP010177.1	Escherichia coli
NZ_CP010178.1	Escherichia coli
NZ_CP010180.1	Escherichia coli
NZ_CP010183.1	Escherichia coli
NZ_CP010186.1	Escherichia coli
NZ_CP010191.1	Escherichia coli
NZ_CP010196.1	Escherichia coli
NZ_CP010200.1	Escherichia coli
NZ_CP010206.1	Escherichia coli
NZ_CP010213.1	Escherichia coli
NZ_CP010219.1	Escherichia coli
NZ_CP010221.1	Escherichia coli
NZ_CP010226.1	Escherichia coli
NZ_CP010228.1	Escherichia coli
NZ_CP010229.1	Escherichia coli
NZ_CP010230.1	Escherichia coli
NZ_CP010231.1	Escherichia coli
NZ_CP010235.1	Escherichia coli
NZ_CP010236.1	Escherichia coli
NZ_CP010237.1	Escherichia coli
NZ_CP010238.1	Escherichia coli
NZ_CP010240.1	Escherichia coli
NZ_CP010242.1	Escherichia coli
NZ_CP010247.1	Yersinia pestis
NZ_CP010249.1	Bordetella pertussis
NZ_CP010250.1	Bordetella pertussis
NZ_CP010251.1	Bordetella pertussis
NZ_CP010252.1	Bordetella pertussis
NZ_CP010253.1	Bordetella pertussis
NZ_CP010254.1	Bordetella pertussis
NZ_CP010255.1	Bordetella pertussis
NZ_CP010256.1	Bordetella pertussis
NZ_CP010257.1	Bordetella pertussis
NZ_CP010258.1	Bordetella pertussis
NZ_CP010259.1	Bordetella pertussis
NZ_CP010260.1	Bordetella pertussis
NZ_CP010261.1	Bordetella pertussis
NZ_CP010262.1	Bordetella pertussis
NZ_CP010263.1	Bordetella pertussis
NZ_CP010264.1	Bordetella pertussis
NZ_CP010265.1	Bordetella pertussis
NZ_CP010266.1	Bordetella pertussis
NZ_CP010267.1	Mycoplasma mycoides
NZ_CP010268.1	Paenibacillus polymyxa
NZ_CP010279.1	Salmonella enterica
NZ_CP010280.1	Salmonella enterica
NZ_CP010281.1	Salmonella enterica
NZ_CP010282.1	Salmonella enterica
NZ_CP010283.1	Salmonella enterica
NZ_CP010284.1	Salmonella enterica
NZ_CP010288.1	Francisella tularensis
NZ_CP010289.1	Francisella tularensis
NZ_CP010290.1	Francisella tularensis
NZ_CP010295.1	Staphylococcus aureus
NZ_CP010296.1	Staphylococcus aureus
NZ_CP010297.1	Staphylococcus aureus
NZ_CP010298.1	Staphylococcus aureus
NZ_CP010299.1	Staphylococcus aureus
NZ_CP010300.1	Staphylococcus aureus
NZ_CP010301.1	Campylobacter jejuni
NZ_CP010304.1	Escherichia coli
NZ_CP010306.1	Campylobacter jejuni
NZ_CP010307.1	Campylobacter jejuni
NZ_CP010308.1	Borrelia miyamotoi
NZ_CP010309.1	Staphylococcus schleiferi
NZ_CP010310.2	Pandoraea pulmonicola
NZ_CP010311.1	Geoalkalibacter subterraneus
NZ_CP010313.1	Bradyrhizobium japonicum
NZ_CP010314.1	Bacillus subtilis
NZ_CP010315.1	Escherichia coli
NZ_CP010319.1	Streptococcus agalactiae
NZ_CP010322.1	Bacillus anthracis
NZ_CP010323.1	Bordetella pertussis
NZ_CP010327.1	Myroides sp.
NZ_CP010330.1	Mycobacterium tuberculosis
NZ_CP010337.1	Mycobacterium tuberculosis
NZ_CP010339.1	Mycobacterium tuberculosis
NZ_CP010341.1	Propionibacterium freudenreichii
NZ_CP010344.1	Escherichia coli
NZ_CP010346.1	Listeria monocytogenes
NZ_CP010350.1	Acinetobacter johnsonii
NZ_CP010359.1	Pseudomonas plecoglossicida
NZ_CP010361.1	Klebsiella pneumoniae
NZ_CP010368.1	Acinetobacter nosocomialis
NZ_CP010371.1	Escherichia coli
NZ_CP010376.2	Enterobacter hormaechei
NZ_CP010377.1	Enterobacter hormaechei
NZ_CP010384.1	Enterobacter hormaechei
NZ_CP010392.1	Klebsiella pneumoniae
NZ_CP010397.1	Acinetobacter baumannii
NZ_CP010401.1	Bartonella ancashensis
NZ_CP010402.1	Staphylococcus aureus
NZ_CP010406.1	Bacillus sp.
NZ_CP010407.1	Streptomyces vietnamensis
NZ_CP010409.1	Xanthomonas sacchari
NZ_CP010411.1	Bifidobacterium longum
NZ_CP010412.1	Bifidobacterium bifidum
NZ_CP010413.1	Bifidobacterium breve
NZ_CP010415.1	Azotobacter chroococcum
NZ_CP010423.1	Pragia fontium
NZ_CP010427.1	Allofrancisella guangzhouensis
NZ_CP010429.1	Spirosoma radiotolerans
NZ_CP010431.2	Pandoraea sputorum
NZ_CP010432.1	Lactobacillus acidophilus
NZ_CP010433.1	Bifidobacterium animalis
NZ_CP010435.1	Helicobacter pylori
NZ_CP010436.1	Helicobacter pylori
NZ_CP010437.1	Bifidobacterium adolescentis
NZ_CP010438.1	Escherichia coli
NZ_CP010439.1	Escherichia coli
NZ_CP010440.1	Escherichia coli
NZ_CP010441.1	Escherichia coli
NZ_CP010442.1	Escherichia coli
NZ_CP010443.1	Escherichia coli
NZ_CP010444.1	Escherichia coli
NZ_CP010445.1	Escherichia coli
NZ_CP010446.2	Francisella tularensis
NZ_CP010449.1	Streptococcus pyogenes
NZ_CP010450.1	Streptococcus pyogenes
NZ_CP010451.1	Corynebacterium glutamicum
