#ID	ACCESSION	ORGANISM	START	END	SEQUENCE	INSERTION	REFERENCE	DETECTION
1171	NC_010501.1	Pseudomonas putida W619	3475189	3479896				
1172	NC_010498.1	Escherichia coli SECEC SMS-3-5	3220780	3226057				
1173	NC_009512.1	Pseudomonas putida F1	2447055	2458214				
1174	NC_009512.1	Pseudomonas putida F1	3478817	3483908				
1175	NC_010410.1	Acinetobacter baumannii AYE	3240079	3252654				
1176	NC_008253.1	Escherichia coli 536	2016489	2037988				
1177	NC_009485.1	Bradyrhizobium sp. BTAi1	4089875	4096130				
1178	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	2238501	2248318				
1179	NC_009512.1	Pseudomonas putida F1	776901	785839				
1180	NC_010102.1	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7	4562770	4571938				
1181	NC_009485.1	Bradyrhizobium sp. BTAi1	5090210	5107072				
1182	NC_007778.1	Rhodopseudomonas palustris HaA2	2890760	2903574				
1183	NC_007606.1	Shigella dysenteriae Sd197	1215477	1220191				
1184	NC_008060.1	Burkholderia cenocepacia AU 1054 chromosome 1, complete sequence.	1423049	1428117				
1185	NC_004088.1	Yersinia pestis KIM	3390242	3398734				
1186	NC_009665.1	Shewanella baltica OS185	642102	650843				
1187	NC_008577.1		1486874	1503681				islandpick=100.0;SIGI-HMM=98.3;Centroid=100.0;DIMOB=98.3;PAI_IDA=100.0;DINUC=98.3;Alien_Hunter=98.7
1188	NC_010501.1	Pseudomonas putida W619	2889111	2897318				
1189	NC_007958.1	Rhodopseudomonas palustris BisB5	11340	46264				
1190	NC_008595.1		5173495	5183749				islandpick=100.0;SIGI-HMM=74.2;Centroid=0.0;DIMOB=97.8;PAI_IDA=85.3;DINUC=97.8;Alien_Hunter=100.0
1191	NC_007434.1	Burkholderia pseudomallei 1710b chromosome I, complete sequence.	1715729	1765594				
1192	NC_006350.1	Burkholderia pseudomallei K96243 chromosome 1, complete sequence.	2157621	2162565				
1193	NC_008253.1	Escherichia coli 536	4819337	4830125				
1194	NC_008061.1	Burkholderia cenocepacia AU 1054 chromosome 2, complete sequence.	200669	210852				
1195	NC_002695.1	Escherichia coli O157:H7 str. Sakai	2203952	2250093			Hayashi et al., 2001, DNA Res	
1196	NC_002695.1	Escherichia coli O157:H7 str. Sakai	5357371	5391518			Hayashi et al., 2001, DNA Res	
1197	NC_004631.1	Salmonella enterica subsp. enterica serovar Typhi Ty2	3524784	3534718				
1198	NC_010498.1	Escherichia coli SECEC SMS-3-5	4859716	4865697				
1199	NC_007946.1	Escherichia coli UTI89	1122286	1132728				
1200	NC_009997.1	Shewanella baltica OS195	5230362	5238254				
1201	NC_004431.1	Escherichia coli CFT073	4274702	4342875			Lloyd et al., 2007 J Bacteriol	
1202	NC_007005.1	Pseudomonas syringae pv. syringae B728a	3175302	3183428				
1203	NC_003923.1	Staphylococcus aureus subsp. aureus MW2	2097809	2100838			Baba et al., 2002, The Lancet	
1204	NC_008322.1	Shewanella sp. MR-7	2327487	2336922				
1205	NC_007606.1	Shigella dysenteriae Sd197	2632690	2640592				
1206	NC_004603.1	Vibrio parahaemolyticus RIMD 2210633 chromosome I, complete sequence.	1471123	1527506			Boyd et al., 2008, BMC Microbiology	
1207	NC_010501.1	Pseudomonas putida W619	1461724	1465730				
1208	NC_007510.1	Burkholderia sp. 383 chromosome 1, complete sequence.	3668626	3675010				
1209	NC_009512.1	Pseudomonas putida F1	2134086	2139089				
1210	NC_010501.1	Pseudomonas putida W619	2285105	2290178				
1211	NC_005773.3	Pseudomonas syringae pv. phaseolicola 1448A	899932	925154				
1212	NC_007778.1	Rhodopseudomonas palustris HaA2	1078072	1085086				
1213	NC_008061.1	Burkholderia cenocepacia AU 1054 chromosome 2, complete sequence.	1025706	1056146				
1214	NC_009997.1	Shewanella baltica OS195	1716273	1725250				
1215	NC_006350.1	Burkholderia pseudomallei K96243 chromosome 1, complete sequence.	1876915	1892823				
1216	NC_007005.1	Pseudomonas syringae pv. syringae B728a	876352	881474				
1217	NC_004741.1	Shigella flexneri 2a str. 2457T	3854187	3861889				
1218	NC_005773.3	Pseudomonas syringae pv. phaseolicola 1448A	3263526	3269037				
1219	NC_008322.1	Shewanella sp. MR-7	2240189	2249745				
1220	NC_010322.1	Pseudomonas putida GB-1	774209	784797				
1221	NC_008321.1	Shewanella sp. MR-4	3826008	3838042				
1222	NC_002695.1	Escherichia coli O157:H7 str. Sakai	2209428	2217596				
1223	NC_004741.1	Shigella flexneri 2a str. 2457T	3050043	3055442				
1224	NC_010501.1	Pseudomonas putida W619	3622093	3629696				
1225	NC_007958.1	Rhodopseudomonas palustris BisB5	1743624	1749295				
1226	NC_005139.1	Vibrio vulnificus YJ016 chromosome I, complete sequence.	2171656	2178176				
1227	NC_002944.2		4146327	4159661				islandpick=100.0;SIGI-HMM=68.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=100.0;DINUC=45.0;Alien_Hunter=100.0
1228	NC_003197.1		1113800	1121815				islandpick=100.0;SIGI-HMM=38.7;Centroid=0.0;DIMOB=100.0;PAI_IDA=0.0;DINUC=100.0;Alien_Hunter=100.0
1229	NC_009485.1	Bradyrhizobium sp. BTAi1	6250899	6260704				
1230	NC_010322.1	Pseudomonas putida GB-1	3562594	3576742				
1231	NC_009783.1	Vibrio harveyi ATCC BAA-1116 chromosome I, complete sequence.	2185399	2196129				
1232	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	2635935	2642190				
1233	NC_002516.2		1311423	1324804				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=0.0
1234	NC_008577.1	Shewanella sp. ANA-3 chromosome 1, complete sequence.	2162065	2172751				
1235	NC_004603.1	Vibrio parahaemolyticus RIMD 2210633 chromosome I, complete sequence.	1779297	1783546				
1236	NC_009074.1	Burkholderia pseudomallei 668 chromosome I, complete sequence.	1999205	2004461				
1237	NC_009485.1		8144354	8174568				islandpick=100.0;SIGI-HMM=0.0;Centroid=100.0;DIMOB=100.0;PAI_IDA=100.0;DINUC=100.0;Alien_Hunter=100.0
1238	NC_008463.1		4860218	4872744				islandpick=100.0;SIGI-HMM=17.5;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=85.8
1239	NC_004603.1		1496017	1507668				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=0.0
1240	NC_009997.1	Shewanella baltica OS195	2710870	2727256				
1241	NC_008595.1	Mycobacterium avium 104	415529	420118				
1242	NC_010380.1	Streptococcus pneumoniae Hungary19A-6	2044161	2055033				
1243	NC_009485.1	Bradyrhizobium sp. BTAi1	6909228	6917896				
1244	NC_009512.1	Pseudomonas putida F1	2699166	2704707				
1245	NC_005139.1	Vibrio vulnificus YJ016 chromosome I, complete sequence.	1814126	1819588				
1246	NC_005945.1	Bacillus anthracis str. Sterne	3762949	3772843				
1247	NC_009801.1	Escherichia coli E24377A	2917604	2926363				
1248	NC_007434.1	Burkholderia pseudomallei 1710b chromosome I, complete sequence.	797912	808455				
1249	NC_007946.1		938876	948472				islandpick=100.0;SIGI-HMM=47.2;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=53.8
1250	NC_007946.1	Escherichia coli UTI89	295143	313008				
1251	NC_008022.1	Streptococcus pyogenes MGAS10270	1319949	1346901				
1252	NC_007946.1	Escherichia coli UTI89	2937233	2943704				
1253	NC_004578.1		1188998	1215893				islandpick=100.0;SIGI-HMM=43.5;Centroid=66.5;DIMOB=68.0;PAI_IDA=74.4;DINUC=68.0;Alien_Hunter=100.0
1254	NC_004431.1	Escherichia coli CFT073	1127538	1138421				
1255	NC_007384.1	Shigella sonnei Ss046	4102876	4113137				
1256	NC_010465.1	Yersinia pseudotuberculosis YPIII	2178104	2182477				
1257	NC_009783.1		2569947	2591636				islandpick=100.0;SIGI-HMM=7.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=11.4;Alien_Hunter=0.0
1258	NC_004578.1		2815102	2823742				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=67.3
1259	NC_004347.1		1513563	1536749				islandpick=100.0;SIGI-HMM=5.8;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=76.9
1260	NC_008060.1		1672260	1684139				islandpick=100.0;SIGI-HMM=17.3;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=82.4;Alien_Hunter=98.6
1261	NC_002695.1	Escherichia coli O157:H7 str. Sakai	1765031	1769276				
1262	NC_009074.1	Burkholderia pseudomallei 668 chromosome I, complete sequence.	3802984	3814187				
1263	NC_005773.3		5642564	5650801				islandpick=100.0;SIGI-HMM=88.1;Centroid=100.0;DIMOB=100.0;PAI_IDA=100.0;DINUC=100.0;Alien_Hunter=100.0
1264	NC_007958.1	Rhodopseudomonas palustris BisB5	4059011	4063275				
1265	NC_004603.1	Vibrio parahaemolyticus RIMD 2210633 chromosome I, complete sequence.	1121252	1152668			Hurley et al., 2006, BMC Genomics	
1266	NC_010084.1	Burkholderia multivorans ATCC 17616 chromosome 1, complete sequence.	3211608	3216590				
1267	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	3054237	3058244				
1268	NC_008060.1	Burkholderia cenocepacia AU 1054 chromosome 1, complete sequence.	1550123	1571961				
1269	NC_008543.1	Burkholderia cenocepacia HI2424 chromosome 2, complete sequence.	264592	269572				
1270	NC_004578.1	Pseudomonas syringae pv. tomato str. DC3000	2888017	2900210				
1271	NC_010501.1		2201429	2213212				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=30.0
1272	NC_009080.1	Burkholderia mallei NCTC 10247 chromosome I, complete sequence.	608323	613620				
1273	NC_004431.1	Escherichia coli CFT073	1158636	1174408				
1274	NC_010501.1	Pseudomonas putida W619	4351705	4357702				
1275	NC_008258.1	Shigella flexneri 5 str. 8401	1192845	1208351				
1276	NC_009485.1	Bradyrhizobium sp. BTAi1	1341485	1353529				
1277	NC_002695.1	Escherichia coli O157:H7 str. Sakai	3852036	3875489			Hayashi et al., 2001, DNA Res	
1278	NC_009783.1	Vibrio harveyi ATCC BAA-1116 chromosome I, complete sequence.	2905453	2910857				
1279	NC_007606.1	Shigella dysenteriae Sd197	1529539	1533919				
1280	NC_010167.1	Brucella suis ATCC 23445 chromosome II, complete sequence.	938981	945725				
1281	NC_002695.1	Escherichia coli O157:H7 str. Sakai	3491268	3500161				
1282	NC_010551.1	Burkholderia ambifaria MC40-6 chromosome 1, complete sequence.	1666664	1670729				
1283	NC_007778.1	Rhodopseudomonas palustris HaA2	2568318	2593578				
1284	NC_002655.2		665140	673824				islandpick=100.0;SIGI-HMM=8.4;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=100.0
1285	NC_002947.3		5001721	5014127				islandpick=100.0;SIGI-HMM=96.0;Centroid=100.0;DIMOB=100.0;PAI_IDA=100.0;DINUC=100.0;Alien_Hunter=100.0
1286	NC_009074.1	Burkholderia pseudomallei 668 chromosome I, complete sequence.	2981661	3000639				
1287	NC_004631.1	Salmonella enterica subsp. enterica serovar Typhi Ty2	4417696	4458443				
1288	NC_007434.1	Burkholderia pseudomallei 1710b chromosome I, complete sequence.	1810035	1818112				
1289	NC_004431.1		1355966	1373084				islandpick=100.0;SIGI-HMM=22.3;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=65.6;Alien_Hunter=78.3
1290	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	2020468	2026264				
1291	NC_004116.1	Streptococcus agalactiae 2603V/R	1855910	1867169				
1292	NC_009485.1		1627742	1638041				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=100.0;PAI_IDA=70.5;DINUC=100.0;Alien_Hunter=100.0
1293	NC_010612.1	Mycobacterium marinum M	1770427	1776151				
1294	NC_009665.1	Shewanella baltica OS185	3860646	3884119				
1295	NC_009783.1	Vibrio harveyi ATCC BAA-1116 chromosome I, complete sequence.	1632747	1642058				
1296	NC_009512.1	Pseudomonas putida F1	2345313	2349871				
1297	NC_007434.1	Burkholderia pseudomallei 1710b chromosome I, complete sequence.	2935964	2941929				
1298	NC_004578.1	Pseudomonas syringae pv. tomato str. DC3000	6145200	6154048				
1299	NC_009512.1	Pseudomonas putida F1	5157060	5184084				
1300	NC_004631.1		4679558	4688316				islandpick=100.0;SIGI-HMM=97.7;Centroid=100.0;DIMOB=0.0;PAI_IDA=62.1;DINUC=100.0;Alien_Hunter=69.3
1301	NC_008253.1	Escherichia coli 536	4804154	4817824				
1302	NC_009800.1	Escherichia coli HS	3144759	3149016				
1303	NC_009708.1	Yersinia pseudotuberculosis IP 31758	3181871	3189890				
1304	NC_008060.1	Burkholderia cenocepacia AU 1054 chromosome 1, complete sequence.	1428630	1461777				
1305	NC_007778.1	Rhodopseudomonas palustris HaA2	4970405	4989360				
1306	NC_009342.1	Corynebacterium glutamicum R	2413611	2421710				
1307	NC_007005.1	Pseudomonas syringae pv. syringae B728a	3683426	3691220				
1308	NC_002947.3		4484323	4493066				islandpick=100.0;SIGI-HMM=100.0;Centroid=12.2;DIMOB=10.9;PAI_IDA=100.0;DINUC=10.9;Alien_Hunter=100.0
1309	NC_010515.1		1227519	1238429				islandpick=100.0;SIGI-HMM=88.2;Centroid=0.0;DIMOB=88.1;PAI_IDA=68.6;DINUC=88.1;Alien_Hunter=91.3
1310	NC_004578.1	Pseudomonas syringae pv. tomato str. DC3000	5086628	5092348				
1311	NC_007005.1	Pseudomonas syringae pv. syringae B728a	4535041	4543291				
1312	NC_009085.1		1237265	1259581				islandpick=100.0;SIGI-HMM=0.0;Centroid=71.7;DIMOB=0.0;PAI_IDA=87.7;DINUC=88.7;Alien_Hunter=85.3
1313	NC_004431.1	Escherichia coli CFT073	3223002	3255067			Lloyd et al., 2007 J Bacteriol	
1314	NC_006350.1	Burkholderia pseudomallei K96243 chromosome 1, complete sequence.	1978573	1983665				
1315	NC_010465.1	Yersinia pseudotuberculosis YPIII	3427379	3445047				
1316	NC_009438.1		4093403	4103477				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=0.1
1317	NC_006350.1	Burkholderia pseudomallei K96243 chromosome 1, complete sequence.	614569	628886				
1318	NC_007778.1		5003472	5016608				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=0.0
1319	NC_007510.1	Burkholderia sp. 383 chromosome 1, complete sequence.	3345457	3364693				
1320	NC_007613.1	Shigella boydii Sb227	1188250	1198102				
1321	NC_010322.1		3159686	3169902				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=1.0
1322	NC_009997.1	Shewanella baltica OS195	2541307	2548579				
1323	NC_004431.1	Escherichia coli CFT073	2298266	2303395				
1324	NC_009485.1	Bradyrhizobium sp. BTAi1	3556573	3562437				
1325	NC_007946.1	Escherichia coli UTI89	2624558	2635286				
1326	NC_002695.1	Escherichia coli O157:H7 str. Sakai	2668007	2692135				
1327	NC_009512.1	Pseudomonas putida F1	2965822	2971453				
1328	NC_008390.1	Burkholderia cepacia AMMD chromosome 1, complete sequence.	1357875	1362205				
1329	NC_007946.1	Escherichia coli UTI89	4896631	4900882				
1330	NC_009074.1	Burkholderia pseudomallei 668 chromosome I, complete sequence.	2920487	2930509				
1331	NC_004578.1	Pseudomonas syringae pv. tomato str. DC3000	2868434	2882147				
1332	NC_010322.1	Pseudomonas putida GB-1	5362709	5377607				
1333	NC_010322.1	Pseudomonas putida GB-1	1546621	1563682				
1334	NC_010551.1	Burkholderia ambifaria MC40-6 chromosome 1, complete sequence.	1439531	1443760				
1335	NC_003198.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	2759733	2768056			Parkhill et al., 2001, Nature	
1336	NC_009445.1	Bradyrhizobium sp. ORS278	832686	837962				
1337	NC_008750.1	Shewanella sp. W3-18-1	374051	381279				
1338	NC_006511.1	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150	4483325	4489149				
1339	NC_008061.1	Burkholderia cenocepacia AU 1054 chromosome 2, complete sequence.	593915	601460				
1340	NC_008595.1	Mycobacterium avium 104	5251213	5255837				
1341	NC_010084.1	Burkholderia multivorans ATCC 17616 chromosome 1, complete sequence.	2143811	2147900				
1342	NC_009783.1		2185399	2193822				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=82.1;Alien_Hunter=100.0
1343	NC_010582.1	Streptococcus pneumoniae CGSP14	1205381	1213724				
1344	NC_002695.1		1806491	1814623				islandpick=100.0;SIGI-HMM=100.0;Centroid=0.0;DIMOB=61.5;PAI_IDA=0.0;DINUC=61.5;Alien_Hunter=100.0
1345	NC_007510.1	Burkholderia sp. 383 chromosome 1, complete sequence.	1961586	2014850				
1346	NC_009074.1	Burkholderia pseudomallei 668 chromosome I, complete sequence.	2459567	2473160				
1347	NC_007384.1	Shigella sonnei Ss046	1327819	1339090				
1348	NC_006086.1	Streptococcus pyogenes MGAS10394	1119538	1177901				
1349	NC_010322.1	Pseudomonas putida GB-1	6052823	6058292				
1350	NC_010084.1		2831186	2843435				islandpick=100.0;SIGI-HMM=96.3;Centroid=100.0;DIMOB=100.0;PAI_IDA=100.0;DINUC=100.0;Alien_Hunter=99.8
1351	NC_005071.1	Prochlorococcus marinus str. MIT 9313	1053339	1062215				
1352	NC_010612.1	Mycobacterium marinum M	4817155	4869672				
1353	NC_010501.1	Pseudomonas putida W619	2244729	2248811				
1354	NC_010465.1	Yersinia pseudotuberculosis YPIII	2545879	2564074				
1355	NC_008253.1	Escherichia coli 536	2058170	2065754				
1356	NC_004631.1	Salmonella enterica subsp. enterica serovar Typhi Ty2	4679558	4699499				
1357	NC_009665.1	Shewanella baltica OS185	691563	721135				
1358	NC_008543.1	Burkholderia cenocepacia HI2424 chromosome 2, complete sequence.	2927587	2934877				
1359	NC_004578.1	Pseudomonas syringae pv. tomato str. DC3000	5383279	5413488				
1360	NC_009783.1	Vibrio harveyi ATCC BAA-1116 chromosome I, complete sequence.	2148370	2172143				
1361	NC_008463.1	Pseudomonas aeruginosa UCBPP-PA14	3329514	3341755				
1362	NC_007434.1	Burkholderia pseudomallei 1710b chromosome I, complete sequence.	2500487	2509762				
1363	NC_010102.1	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7	4750015	4755386				
1364	NC_002947.3		1763627	1772777				islandpick=100.0;SIGI-HMM=36.4;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=81.3;Alien_Hunter=100.0
1365	NC_007946.1	Escherichia coli UTI89	4817000	4845973				
1366	NC_003198.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	759249	766971			Parkhill et al., 2001, Nature	
1367	NC_004603.1	Vibrio parahaemolyticus RIMD 2210633 chromosome I, complete sequence.	664402	674355			Hurley et al., 2006, BMC Genomics	
1368	NC_009485.1	Bradyrhizobium sp. BTAi1	1490514	1500685				
1369	NC_009512.1	Pseudomonas putida F1	2407927	2414406				
1370	NC_009438.1	Shewanella putrefaciens CN-32	215950	243828				
1371	NC_007946.1		1080973	1091838				islandpick=100.0;SIGI-HMM=80.2;Centroid=83.1;DIMOB=75.8;PAI_IDA=0.0;DINUC=75.8;Alien_Hunter=74.4
1372	NC_009665.1	Shewanella baltica OS185	3888875	3899945				
1373	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	136967	142717				
1374	NC_010612.1	Mycobacterium marinum M	2795090	2809572				
1375	NC_004368.1		1382305	1395262				islandpick=100.0;SIGI-HMM=31.9;Centroid=0.0;DIMOB=0.0;PAI_IDA=2.0;DINUC=0.0;Alien_Hunter=100.0
1376	NC_005773.3	Pseudomonas syringae pv. phaseolicola 1448A	1870311	1874567				
1377	NC_004741.1	Shigella flexneri 2a str. 2457T	3955012	3961562				
1378	NC_004431.1	Escherichia coli CFT073	1175650	1193963				
1379	NC_004603.1	Vibrio parahaemolyticus RIMD 2210633 chromosome I, complete sequence.	1121177	1127389				
1380	NC_010465.1	Yersinia pseudotuberculosis YPIII	431177	448449				
1381	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	2623678	2633331				
1382	NC_010501.1	Pseudomonas putida W619	1516885	1524135				
1383	NC_009445.1	Bradyrhizobium sp. ORS278	3134895	3139393				
1384	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	2554063	2562948				
1385	NC_009438.1	Shewanella putrefaciens CN-32	4050388	4054500				
1386	NC_007946.1		4820310	4831594				islandpick=100.0;SIGI-HMM=100.0;Centroid=100.0;DIMOB=100.0;PAI_IDA=100.0;DINUC=100.0;Alien_Hunter=100.0
1387	NC_010465.1		3428809	3443828				islandpick=100.0;SIGI-HMM=69.1;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=97.5;Alien_Hunter=99.6
1388	NC_002655.2		579582	596829				islandpick=100.0;SIGI-HMM=0.0;Centroid=97.6;DIMOB=0.0;PAI_IDA=97.6;DINUC=100.0;Alien_Hunter=87.4
1389	NC_002695.1	Escherichia coli O157:H7 str. Sakai	1545566	1550731				
1390	NC_008543.1	Burkholderia cenocepacia HI2424 chromosome 2, complete sequence.	141971	152779				
1391	NC_009801.1	Escherichia coli E24377A	3020329	3025568				
1392	NC_004431.1	Escherichia coli CFT073	4313542	4328989				
1393	NC_004741.1		1179331	1189980				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=100.0
1394	NC_009485.1	Bradyrhizobium sp. BTAi1	1595711	1616099				
1395	NC_008390.1	Burkholderia cepacia AMMD chromosome 1, complete sequence.	1320393	1324864				
1396	NC_009074.1	Burkholderia pseudomallei 668 chromosome I, complete sequence.	1383183	1390613				
1397	NC_009074.1	Burkholderia pseudomallei 668 chromosome I, complete sequence.	1525083	1529386				
1398	NC_003047.1	Sinorhizobium meliloti 1021	3356259	3375744				
1399	NC_010551.1	Burkholderia ambifaria MC40-6 chromosome 1, complete sequence.	2358065	2365000				
1400	NC_010501.1	Pseudomonas putida W619	5712265	5718279				
1401	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	1629920	1671729				
1402	NC_005945.1	Bacillus anthracis str. Sterne	3017537	3021748				
1403	NC_010612.1	Mycobacterium marinum M	4708110	4720844				
1404	NC_007434.1	Burkholderia pseudomallei 1710b chromosome I, complete sequence.	1849277	1854328				
1405	NC_004347.1		2812095	2822987				islandpick=100.0;SIGI-HMM=15.9;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=14.6
1406	NC_009485.1	Bradyrhizobium sp. BTAi1	2721470	2742947				
1407	NC_007510.1	Burkholderia sp. 383 chromosome 1, complete sequence.	3499996	3506414				
1408	NC_007946.1	Escherichia coli UTI89	2182542	2203454				
1409	NC_009438.1	Shewanella putrefaciens CN-32	4453721	4462446				
1410	NC_007606.1	Shigella dysenteriae Sd197	4196365	4204883				
1411	NC_010322.1	Pseudomonas putida GB-1	4631435	4675420				
1412	NC_010501.1	Pseudomonas putida W619	4234627	4240197				
1413	NC_006905.1	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67	1094402	1098528				
1414	AC_000091.1		2754785	2768394				islandpick=100.0;SIGI-HMM=50.4;Centroid=73.5;DIMOB=100.0;PAI_IDA=0.0;DINUC=100.0;Alien_Hunter=100.0
1415	NC_009512.1	Pseudomonas putida F1	5184919	5190343				
1416	NC_010322.1		5308854	5323342				islandpick=100.0;SIGI-HMM=53.4;Centroid=76.9;DIMOB=84.8;PAI_IDA=100.0;DINUC=84.8;Alien_Hunter=100.0
1417	NC_010612.1		4692955	4703710				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=81.0;DINUC=0.0;Alien_Hunter=100.0
1418	NC_007432.1	Streptococcus agalactiae A909	465200	484005				
1419	NC_002695.1	Escherichia coli O157:H7 str. Sakai	579579	597135				
1420	NC_010322.1		3324198	3333162				islandpick=100.0;SIGI-HMM=91.6;Centroid=0.0;DIMOB=100.0;PAI_IDA=91.0;DINUC=100.0;Alien_Hunter=100.0
1421	NC_009438.1		2349264	2357632				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=0.0
1422	NC_007778.1		3521385	3530379				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=0.0
1423	NC_008258.1	Shigella flexneri 5 str. 8401	238333	249717				
1424	NC_010322.1	Pseudomonas putida GB-1	3665122	3672778				
1425	NC_009074.1	Burkholderia pseudomallei 668 chromosome I, complete sequence.	571222	576562				
1426	NC_003198.1	Salmonella enterica subsp. enterica serovar Typhi str. CT18	16094	32998			Parkhill et al., 2001, Nature	
1427	NC_009665.1	Shewanella baltica OS185	2607306	2624859				
1428	NC_007778.1	Rhodopseudomonas palustris HaA2	2324632	2333786				
1429	NC_008390.1	Burkholderia cepacia AMMD chromosome 1, complete sequence.	1758818	1765077				
1430	NC_007946.1	Escherichia coli UTI89	2923989	2928316				
1431	NC_009445.1	Bradyrhizobium sp. ORS278	2434858	2444520				
1432	NC_008253.1	Escherichia coli 536	3949317	3990567				
1433	NC_009485.1	Bradyrhizobium sp. BTAi1	3563301	3571288				
1434	NC_004603.1	Vibrio parahaemolyticus RIMD 2210633 chromosome I, complete sequence.	1127423	1144253				
1435	NC_007651.1	Burkholderia thailandensis E264 chromosome I, complete sequence.	2805757	2810546				
1436	NC_008322.1	Shewanella sp. MR-7	2084661	2122889				
1437	NC_009080.1	Burkholderia mallei NCTC 10247 chromosome I, complete sequence.	1376326	1382375				
1438	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	3012094	3040099				
1439	NC_006155.1	Yersinia pseudotuberculosis IP 32953	3688276	3717979				
1440	NC_004578.1	Pseudomonas syringae pv. tomato str. DC3000	3430904	3441293				
1441	NC_003047.1	Sinorhizobium meliloti 1021	3375844	3387071				
1442	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	3150085	3154973				
1443	NC_008061.1	Burkholderia cenocepacia AU 1054 chromosome 2, complete sequence.	2242351	2248942				
1444	NC_008463.1	Pseudomonas aeruginosa UCBPP-PA14	2709692	2713983				
1445	NC_009485.1	Bradyrhizobium sp. BTAi1	6637328	6651902				
1446	NC_007510.1	Burkholderia sp. 383 chromosome 1, complete sequence.	1455160	1459407				
1447	NC_009076.1	Burkholderia pseudomallei 1106a chromosome I, complete sequence.	3171346	3176861				
1448	NC_009485.1	Bradyrhizobium sp. BTAi1	612115	633823				
1449	NC_002516.2	Pseudomonas aeruginosa PAO1	5724531	5729732				
1450	NC_009485.1	Bradyrhizobium sp. BTAi1	3861734	3887991				
1451	NC_008543.1	Burkholderia cenocepacia HI2424 chromosome 2, complete sequence.	133289	138220				
1452	NC_010551.1	Burkholderia ambifaria MC40-6 chromosome 1, complete sequence.	1253142	1258734				
